sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,n_repeats,auc_mean_std,roi_sd_mean
pairwise 1,"[1,20]",0.375,0.0015,1.857142857,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,13.82096893,2,0.224760367,1.689188146
H2O2,"[5,15]",0.069725412,3.91E-05,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16620613,1,,1.683231481
pairwise 1,"[4,22]",0.375,0.0015,1.857142857,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92960119,13,1.125812451,1.67621582
pairwise 2,"[14,8]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,16.10823432,13,1.211304472,1.673092381
single additive,"[13,3]",0.375,0.0015,1.857142857,0,0,0,0.078743652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2806185,1,,1.671155036
pairwise 1,"[4,18]",0.375,0.0015,1.857142857,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,17.77399788,2,0.745715731,1.670377796
HRP,"[1,5]",0.267857143,0.0015,0.676801333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80657285,1,,1.668465738
single additive,"[2,4]",0.375,0.0015,1.857142857,0,0,0,0,0.318877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01817933,1,,1.668006478
single additive,"[1,14]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.464285714,0,0,0,0,0,0,0,2.829202216,1,,1.667298787
pairwise 1,"[10,22]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,14.53338514,13,3.080188714,1.47837213
single additive,"[1,15]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446428571,0,0,0,0,0,0,9.363841314,1,,1.663762161
pairwise 1,"[2,13]",0.375,0.0015,1.857142857,0,0,62.5,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,8.568562624,2,2.289042929,1.364269344
HRP,"[3,13]",0.136661808,0.0015,0.045860303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267552886,1,,1.653495205
HRP,"[15,23]",0.00241052,0.0015,0.001585465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033940367,1,,1.640788237
single additive,"[15,21]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040175333,12.58343937,1,,1.640024461
HRP,"[15,15]",0.00241052,0.0015,0.023398114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.638367446
HRP,"[15,14]",0.00241052,0.0015,0.032757359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123489,1,,1.638052415
single additive,"[11,15]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015433756,0,0,0,0,0,0,11.2096082,1,,1.635920284
HRP,"[1,7]",0.267857143,0.0015,0.345306802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76179928,1,,1.6358828
pairwise 1,"[7,7]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.775674675,1,,1.635403261
pairwise 1,"[13,7]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,31.25,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,8.294592761,2,1.207044462,1.634532247
HRP,"[13,22]",0.004724619,0.0015,0.002219651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.634118081
single additive,"[4,9]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,1.626926281,0,0,0,0,0,0,0,0,0,0,0,0,0.036600807,1,,1.632714123
pairwise 1,"[11,9]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,2,0,1.625918782
